"Id","ParentId","PostTypeId","CreationDate","ViewCount","Title","Title_cleaned","Body","Tags","code","has_code","Body_stripped","Body_stopwords","Body_stemmed","Body_stemmed_no_punctuation","Tags_cleaned","AnswerCount"
11269338,,1,"2012-06-29",1141055,"How to ""comment-out"" (add comment) in a batch/cmd?","How ""comment-out"" add comment batchcmd","<p>I have a batch file that runs several python scripts that do table modifications.  </p>

<ol>
<li><p>I want to have users comment out the 1-2 python scripts that they don't want to run, rather than removing them from the batch file (so the next user knows these scripts exist as options!)</p></li>
<li><p>I also want to add comments to bring to their attention specifically the variables they need to update in the Batch file before they run it. I see that I can use . But it looks like that's more for updating the user with progress after they've run it.  </p></li>
</ol>

<p>Is there a syntax for more appropriately adding a comment?</p>
","<batch-file><cmd><comments><commenting><comment-conventions>","[""REM""]","true","I have a batch file that runs several python scripts that do table modifications.  


I want to have users comment out the 1-2 python scripts that they don't want to run, rather than removing them from the batch file (so the next user knows these scripts exist as options!)
I also want to add comments to bring to their attention specifically the variables they need to update in the Batch file before they run it. I see that I can use . But it looks like that's more for updating the user with progress after they've run it.  


Is there a syntax for more appropriately adding a comment?
","I batch file runs several python scripts table modifications. I want users comment 1-2 python scripts want run, rather removing batch file (so next user knows scripts exist options!) I also want add comments bring attention specifically variables need update Batch file run it. I see I can use . But looks like updating user progress run it. Is syntax appropriately adding comment?","I batch file run sever python script tabl modifications. I want user comment 1-2 python script want run, rather remov batch file (so next user know script exist options!) I also want add comment bring attent specif variabl need updat Batch file run it. I see I can use . But look like updat user progress run it. Is syntax appropri ad comment?","I batch file run sever python script tabl modifications I want user comment 12 python script want run rather remov batch file so next user know script exist options I also want add comment bring attent specif variabl need updat Batch file run it I see I can use  But look like updat user progress run it Is syntax appropri ad comment","batch-file cmd comments commenting comment-conventions",8
8865848,,1,"2012-01-14",106451,"Comments in .gitignore?","Comments gitignore","<p>Can you write comments in a  file?</p>

<p>If so, should the line be preceded with a  or some other indicator?</p>
","<git><comments><gitignore>","["".gitignore"", ""#""]","true","Can you write comments in a  file?

If so, should the line be preceded with a  or some other indicator?
","Can write comments file? If so, line preceded indicator?","Can write comment file? If so, line preced indicator?","Can write comment file If so line preced indicator","git comments gitignore",2
4410536,,1,"2010-12-10",55418,"How to comment in XSLT and not HTML","How comment XSLT HTML","<p>I'm writing XSL and I want to make comments throughout the code that will be stripped when it's processed, like PHP, however I'm not sure how.</p>

<p>I'm aware of the comment object, but it prints out an HTML comment when processed. :\</p>

<pre></pre>
","<xslt><comments>","[""&lt;xsl:comment&gt;comment&lt;/xsl:comment&gt;\n""]","true","I'm writing XSL and I want to make comments throughout the code that will be stripped when it's processed, like PHP, however I'm not sure how.

I'm aware of the comment object, but it prints out an HTML comment when processed. :\


","I'm writing XSL I want make comments throughout code will stripped processed, like PHP, however I'm sure how. I'm aware comment object, prints HTML comment processed. :\","I'm write XSL I want make comment throughout code will strip processed, like PHP, howev I'm sure how. I'm awar comment object, print HTML comment processed. :\","I'm write XSL I want make comment throughout code will strip processed like PHP howev I'm sure how I'm awar comment object print HTML comment processed \","xslt comments",4
5961478,,1,"2011-05-11",35482,"Finding Shortcuts in Aptana Studio 3.0 to Comment Code","Finding Shortcuts Aptana Studio 30 Comment Code","<p>I can't find any shortcuts for comment my code in Aptana Studio 3.0. I need shortcuts both to comment individual lines and for commenting selected blocks of code.</p>

<p>Some have told me to try to comment with shortcut  on my Windows OS but that does not appear workable.</p>
","<ide><comments><keyboard-shortcuts><aptana>","[""WIN + /""]","true","I can't find any shortcuts for comment my code in Aptana Studio 3.0. I need shortcuts both to comment individual lines and for commenting selected blocks of code.

Some have told me to try to comment with shortcut  on my Windows OS but that does not appear workable.
","I find shortcuts comment code Aptana Studio 3.0. I need shortcuts comment individual lines commenting selected blocks code. Some told try comment shortcut Windows OS appear workable.","I find shortcut comment code Aptana Studio 3.0. I need shortcut comment individu line comment select block code. Some told tri comment shortcut Window OS appear workable.","I find shortcut comment code Aptana Studio 30 I need shortcut comment individu line comment select block code Some told tri comment shortcut Window OS appear workable","ide comments keyboard-shortcuts aptana",3
143429,,1,"2008-09-27",27835,"What's the least useful comment you've ever seen?","Whats least useful comment ever seen","<p>We all know that commenting our code is an important part of coding style for making our code understandable to the next person who comes along, or even ourselves in 6 months or so.</p>

<p>However, sometimes a comment just doesn't cut the mustard.  I'm not talking about obvious jokes or vented frustraton, I'm talking about comments that appear to be making an attempt at explanation, but do it so poorly they might as well not be there.  Comments that are <strong>too short</strong>, are <strong>too cryptic</strong>, or are <strong>just plain wrong</strong>.  </p>

<p>As a cautonary tale, could you share something you've seen that was really just <strong>that bad</strong>, and if it's not obvious, show the code it was referring to and point out what's wrong with it?  What <strong>should</strong> have gone in there instead?</p>

<p>See also: </p>

<ul>
<li><a href=""https://stackoverflow.com/questions/163600/when-not-to-comment-code"">When NOT to comment your code</a></li>
<li><a href=""https://stackoverflow.com/questions/121945/how-do-you-like-your-comments-best-practices"">How do you like your comments? (Best Practices)</a></li>
<li><a href=""https://stackoverflow.com/questions/184618/what-is-the-best-comment-in-source-code-you-have-ever-encountered"">What is the best comment in source code you have ever encountered?</a></li>
</ul>
","<coding-style><comments>",,"false","We all know that commenting our code is an important part of coding style for making our code understandable to the next person who comes along, or even ourselves in 6 months or so.

However, sometimes a comment just doesn't cut the mustard.  I'm not talking about obvious jokes or vented frustraton, I'm talking about comments that appear to be making an attempt at explanation, but do it so poorly they might as well not be there.  Comments that are too short, are too cryptic, or are just plain wrong.  

As a cautonary tale, could you share something you've seen that was really just that bad, and if it's not obvious, show the code it was referring to and point out what's wrong with it?  What should have gone in there instead?

See also: 


When NOT to comment your code
How do you like your comments? (Best Practices)
What is the best comment in source code you have ever encountered?

","We know commenting code important part coding style making code understandable next person comes along, even 6 months so. However, sometimes comment just cut mustard. I'm talking obvious jokes vented frustraton, I'm talking comments appear making attempt explanation, poorly might well there. Comments short, cryptic, just plain wrong. As cautonary tale, share something seen really just bad, obvious, show code referring point wrong it? What gone instead? See also: When NOT comment code How like comments? (Best Practices) What best comment source code ever encountered?","We know comment code import part code style make code understand next person come along, even 6 month so. However, sometim comment just cut mustard. I'm talk obvious joke vent frustraton, I'm talk comment appear make attempt explanation, poor might well there. Comment short, cryptic, just plain wrong. As cautonari tale, share someth seen realli just bad, obvious, show code refer point wrong it? What gone instead? See also: When NOT comment code How like comments? (Best Practices) What best comment sourc code ever encountered?","We know comment code import part code style make code understand next person come along even 6 month so However sometim comment just cut mustard I'm talk obvious joke vent frustraton I'm talk comment appear make attempt explanation poor might well there Comment short cryptic just plain wrong As cautonari tale share someth seen realli just bad obvious show code refer point wrong it What gone instead See also When NOT comment code How like comments Best Practices What best comment sourc code ever encountered","coding-style comments",101
38422300,,1,"2016-07-17",21345,"How to open WhatsApp using an Intent in your Android App","How open WhatsApp using Intent Android App","<p>I want an Intent to take control you directly to WhatsApp. So the moment the user clicks on the button, the Intent is supposed to take you to WhatsApp.
This is the code I wrote after following a few guide lines but it doesn't work</p>

<pre></pre>
","<android><android-intent><comments><onclicklistener><whatsapp>","[""buttonWhatsapp.setOnClickListener(new View.OnClickListener() {\n        public void onClick(View v) {\n            // Performs action on click\n            Intent sendIntent = new Intent();\n            sendIntent.setAction(Intent.ACTION_SEND);\n            sendIntent.putExtra(Intent.EXTRA_TEXT, \""This is my text to send.\"");\n            sendIntent.setType(\""text/plain\"");\n            sendIntent.setPackage(\""com.whatsapp\"");\n            startActivity(Intent.createChooser(sendIntent, \""\""));\n            startActivity(sendIntent);\n            //opens the portfolio details class\n        }\n    });\n""]","true","I want an Intent to take control you directly to WhatsApp. So the moment the user clicks on the button, the Intent is supposed to take you to WhatsApp.
This is the code I wrote after following a few guide lines but it doesn't work


","I want Intent take control directly WhatsApp. So moment user clicks button, Intent supposed take WhatsApp. This code I wrote following guide lines work","I want Intent take control direct WhatsApp. So moment user click button, Intent suppos take WhatsApp. This code I wrote follow guid line work","I want Intent take control direct WhatsApp So moment user click button Intent suppos take WhatsApp This code I wrote follow guid line work","android android-intent comments onclicklistener whatsapp",10
2006190,,1,"2010-01-05",14192,"python equivalent of '#define func() ' or how to comment out a function call in python","python equivalent define func  comment function call python","<p>my python code is interlaced with lots of function calls used for (debugging|profiling|tracing etc.)
for example:</p>

<pre></pre>

<p>i want to #define these resource consuming functions out of the code. something like the c equivalent</p>

<pre></pre>

<p>yes, i know the logging module logging level mechanism can be used to mask out loggings below set log level.  but, im asking for a general way to have the python interpreter skip functions (that take time to run even if they dont do much)</p>

<p>one idea is to redefine the functions i want to comment out into empty functions:</p>

<pre></pre>

<p>the above idea still calls a function, and may create a myriad of other problems</p>
","<python><comments><preprocessor><commenting>","[""import logging\n\nlogging.root.setLevel(logging.DEBUG)\nlogging.debug('hello')\nj = 0\nfor i in range(10):\n    j += i\n    logging.debug('i %d j %d' % (i,j))\nprint(j)\nlogging.debug('bye')\n"", ""#define logging.debug(val)\n"", ""def lazy(*args): pass\nlogging.debug = lazy\n""]","true","my python code is interlaced with lots of function calls used for (debugging|profiling|tracing etc.)
for example:



i want to #define these resource consuming functions out of the code. something like the c equivalent



yes, i know the logging module logging level mechanism can be used to mask out loggings below set log level.  but, im asking for a general way to have the python interpreter skip functions (that take time to run even if they dont do much)

one idea is to redefine the functions i want to comment out into empty functions:



the above idea still calls a function, and may create a myriad of other problems
","python code interlaced lots function calls used (debugging|profiling|tracing etc.) example: want #define resource consuming functions code. something like c equivalent yes, know logging module logging level mechanism can used mask loggings set log level. but, im asking general way python interpreter skip functions (that take time run even dont much) one idea redefine functions want comment empty functions: idea still calls function, may create myriad problems","python code interlac lot function call use (debugging|profiling|trac etc.) example: want #defin resourc consum function code. someth like c equival yes, know log modul log level mechan can use mask log set log level. but, im ask general way python interpret skip function (that take time run even dont much) one idea redefin function want comment empti functions: idea still call function, may creat myriad problem","python code interlac lot function call use debugging|profiling|trac etc example want defin resourc consum function code someth like c equival yes know log modul log level mechan can use mask log set log level but im ask general way python interpret skip function that take time run even dont much one idea redefin function want comment empti functions idea still call function may creat myriad problem","python comments preprocessor commenting",9
11195101,,1,"2012-06-25",12672,"Add json file comments","Add json file comments","<blockquote>
  <p><strong>Possible Duplicate:</strong><br>
  <a href=""https://stackoverflow.com/questions/244777/can-i-comment-a-json-file"">Can I comment a JSON file?</a>  </p>
</blockquote>



<p>We are using a  file on a project. We want to know if we can add comments to the file and avoid crashing the JSON parser.</p>

<p>We've tried to do so with the following comment types, but they all crash the JSON file when it's parsed:</p>

<pre></pre>

<p>Is there an acceptable form of commenting for JSON files?</p>
","<php><javascript><json><comments>","["".json"", ""# I crash\n// I crash\n/* I crash */\n""]","true","
  Possible Duplicate:
  Can I comment a JSON file?  




We are using a  file on a project. We want to know if we can add comments to the file and avoid crashing the JSON parser.

We've tried to do so with the following comment types, but they all crash the JSON file when it's parsed:



Is there an acceptable form of commenting for JSON files?
","Possible Duplicate: Can I comment JSON file? We using file project. We want know can add comments file avoid crashing JSON parser. We've tried following comment types, crash JSON file parsed: Is acceptable form commenting JSON files?","Possibl Duplicate: Can I comment JSON file? We use file project. We want know can add comment file avoid crash JSON parser. We'v tri follow comment types, crash JSON file parsed: Is accept form comment JSON files?","Possibl Duplicate Can I comment JSON file We use file project We want know can add comment file avoid crash JSON parser We'v tri follow comment types crash JSON file parsed Is accept form comment JSON files","php javascript json comments",2
37598669,,1,"2016-06-02",12160,"How to comment out whole sections of a .htaccess file?","How comment whole sections htaccess file","<p>Is it possible to comment out one or more sections of an .htaccess file, like you would using /* and */ in various programming languages?</p>
","<apache><.htaccess><comments>",,"false","Is it possible to comment out one or more sections of an .htaccess file, like you would using /* and */ in various programming languages?
","Is possible comment one sections .htaccess file, like using /* */ various programming languages?","Is possibl comment one section .htaccess file, like use /* */ various program languages?","Is possibl comment one section htaccess file like use   various program languages","apache .htaccess comments",2
32091163,,1,"2015-08-19",11351,"Comment code in Pycharm with a German keyboard","Comment code Pycharm German keyboard","<p>Does anybody using a German keyboard have found a solution to this?
Ctrl+/ is not possible since it is necessary to push shift+7 to get the slash. But when I do Ctrl+/+7 I get a bookmark called 7 on that line. Commenting code is very time wasting like that, especially when commenting xml lines.</p>
","<keyboard><pycharm><comments>",,"false","Does anybody using a German keyboard have found a solution to this?
Ctrl+/ is not possible since it is necessary to push shift+7 to get the slash. But when I do Ctrl+/+7 I get a bookmark called 7 on that line. Commenting code is very time wasting like that, especially when commenting xml lines.
","Does anybody using German keyboard found solution this? Ctrl+/ possible since necessary push shift+7 get slash. But I Ctrl+/+7 I get bookmark called 7 line. Commenting code time wasting like that, especially commenting xml lines.","Doe anybodi use German keyboard found solut this? Ctrl+/ possibl sinc necessari push shift+7 get slash. But I Ctrl+/+7 I get bookmark call 7 line. Comment code time wast like that, especi comment xml lines.","Doe anybodi use German keyboard found solut this Ctrl possibl sinc necessari push shift7 get slash But I Ctrl7 I get bookmark call 7 line Comment code time wast like that especi comment xml lines","keyboard pycharm comments",4
